i,s,Sampling Method,Estimated Area,CI Upper Area,CI Lower Area
5,49,Edge Sampling,3.05223,3.28722,2.81724
5,121,Edge Sampling,3.215,3.36906,3.06095
5,169,Edge Sampling,3.21439,3.35154,3.07724
5,289,Edge Sampling,3.10811,3.25288,2.96334
5,361,Edge Sampling,3.17613,3.26666,3.08561
5,529,Edge Sampling,3.184,3.25289,3.11511
10,49,Edge Sampling,2.12737,2.34071,1.91402
10,121,Edge Sampling,2.26306,2.36886,2.15726
10,169,Edge Sampling,2.21734,2.36113,2.07355
10,289,Edge Sampling,2.29185,2.39511,2.18859
10,361,Edge Sampling,2.26345,2.3555,2.1714
10,529,Edge Sampling,2.31553,2.39431,2.23675
15,49,Edge Sampling,2.10997,2.31424,1.90571
15,121,Edge Sampling,2.07528,2.2143,1.93626
15,169,Edge Sampling,2.09504,2.24995,1.94012
15,289,Edge Sampling,2.08565,2.1819,1.9894
15,361,Edge Sampling,1.99415,2.09234,1.89596
15,529,Edge Sampling,2.03299,2.09238,1.9736
20,49,Edge Sampling,1.7747,1.96275,1.58666
20,121,Edge Sampling,1.86804,1.97809,1.75798
20,169,Edge Sampling,1.8691,1.97751,1.76068
20,289,Edge Sampling,1.87496,1.9491,1.80083
20,361,Edge Sampling,1.86452,1.93505,1.79399
20,529,Edge Sampling,1.93827,1.99217,1.88437
25,49,Edge Sampling,1.88488,2.11787,1.65189
25,121,Edge Sampling,1.86741,1.98324,1.75157
25,169,Edge Sampling,1.80262,1.93024,1.67501
25,289,Edge Sampling,1.92219,2.00352,1.84087
25,361,Edge Sampling,1.88513,1.95216,1.81811
25,529,Edge Sampling,1.80829,1.86308,1.75349
30,49,Edge Sampling,1.85728,2.03072,1.68383
30,121,Edge Sampling,1.85347,1.95122,1.75572
30,169,Edge Sampling,1.92649,2.03385,1.81914
30,289,Edge Sampling,1.80262,1.893,1.71224
30,361,Edge Sampling,1.7778,1.85526,1.70034
30,529,Edge Sampling,1.83075,1.90609,1.75542
35,49,Edge Sampling,1.89829,2.12554,1.67103
35,121,Edge Sampling,1.83806,1.95648,1.71965
35,169,Edge Sampling,1.76368,1.87056,1.65681
35,289,Edge Sampling,1.8119,1.8992,1.72461
35,361,Edge Sampling,1.77858,1.86395,1.69321
35,529,Edge Sampling,1.75046,1.81694,1.68398
40,49,Edge Sampling,1.86995,2.03043,1.70948
40,121,Edge Sampling,1.80118,1.93669,1.66568
40,169,Edge Sampling,1.74434,1.83849,1.65018
40,289,Edge Sampling,1.73965,1.80536,1.67395
40,361,Edge Sampling,1.77541,1.84624,1.70459
40,529,Edge Sampling,1.75054,1.82247,1.6786
45,49,Edge Sampling,1.66041,1.88005,1.44077
45,121,Edge Sampling,1.65776,1.77231,1.5432
45,169,Edge Sampling,1.76751,1.88876,1.64626
45,289,Edge Sampling,1.70293,1.80169,1.60417
45,361,Edge Sampling,1.76706,1.82846,1.70566
45,529,Edge Sampling,1.75938,1.8247,1.69407
50,49,Edge Sampling,1.53394,1.78605,1.28183
50,121,Edge Sampling,1.80794,1.94888,1.66699
50,169,Edge Sampling,1.72774,1.83916,1.61632
50,289,Edge Sampling,1.77682,1.86429,1.68936
50,361,Edge Sampling,1.74167,1.81785,1.66549
50,529,Edge Sampling,1.76856,1.81849,1.71864
55,49,Edge Sampling,1.69972,1.90419,1.49524
55,121,Edge Sampling,1.70788,1.8161,1.59966
55,169,Edge Sampling,1.69079,1.80411,1.57748
55,289,Edge Sampling,1.75153,1.81256,1.6905
55,361,Edge Sampling,1.68451,1.742,1.62703
55,529,Edge Sampling,1.69542,1.76149,1.62935
60,49,Edge Sampling,1.51421,1.70119,1.32724
60,121,Edge Sampling,1.63019,1.75738,1.503
60,169,Edge Sampling,1.70392,1.79842,1.60942
60,289,Edge Sampling,1.71599,1.78806,1.64391
60,361,Edge Sampling,1.76914,1.83976,1.69852
60,529,Edge Sampling,1.75984,1.82461,1.69507
65,49,Edge Sampling,1.73479,1.96131,1.50827
65,121,Edge Sampling,1.75217,1.88989,1.61446
65,169,Edge Sampling,1.75119,1.85531,1.64708
65,289,Edge Sampling,1.75287,1.83836,1.66738
65,361,Edge Sampling,1.76711,1.84637,1.68785
65,529,Edge Sampling,1.71589,1.77286,1.65892
70,49,Edge Sampling,1.54743,1.73236,1.36249
70,121,Edge Sampling,1.79079,1.91174,1.66984
70,169,Edge Sampling,1.70989,1.82269,1.5971
70,289,Edge Sampling,1.73871,1.80704,1.67038
70,361,Edge Sampling,1.7237,1.79353,1.65388
70,529,Edge Sampling,1.68823,1.74884,1.62761
75,49,Edge Sampling,1.74402,1.95673,1.53132
75,121,Edge Sampling,1.79861,1.91239,1.68483
75,169,Edge Sampling,1.73916,1.82816,1.65015
75,289,Edge Sampling,1.68393,1.75452,1.61334
75,361,Edge Sampling,1.70608,1.78208,1.63008
75,529,Edge Sampling,1.69326,1.76534,1.62119
80,49,Edge Sampling,1.6894,1.82998,1.54883
80,121,Edge Sampling,1.73808,1.87725,1.59891
80,169,Edge Sampling,1.7337,1.83172,1.63568
80,289,Edge Sampling,1.67029,1.74148,1.59909
80,361,Edge Sampling,1.64621,1.72124,1.57118
80,529,Edge Sampling,1.69171,1.76015,1.62327
85,49,Edge Sampling,1.67348,1.87267,1.47429
85,121,Edge Sampling,1.68104,1.78908,1.573
85,169,Edge Sampling,1.68599,1.79955,1.57244
85,289,Edge Sampling,1.69721,1.79619,1.59823
85,361,Edge Sampling,1.79608,1.85999,1.73217
85,529,Edge Sampling,1.72949,1.79295,1.66604
90,49,Edge Sampling,1.70935,1.91551,1.5032
90,121,Edge Sampling,1.61295,1.73212,1.49378
90,169,Edge Sampling,1.67109,1.77625,1.56593
90,289,Edge Sampling,1.73334,1.81842,1.64826
90,361,Edge Sampling,1.71167,1.77911,1.64423
90,529,Edge Sampling,1.67842,1.73371,1.62314
95,49,Edge Sampling,1.61705,1.8593,1.3748
95,121,Edge Sampling,1.73193,1.86233,1.60153
95,169,Edge Sampling,1.6898,1.79407,1.58553
95,289,Edge Sampling,1.71599,1.78974,1.64224
95,361,Edge Sampling,1.69375,1.77155,1.61595
95,529,Edge Sampling,1.68085,1.74047,1.62124
100,49,Edge Sampling,1.87564,2.13105,1.62024
100,121,Edge Sampling,1.64681,1.77397,1.51965
100,169,Edge Sampling,1.71709,1.82798,1.6062
100,289,Edge Sampling,1.70706,1.79366,1.62046
100,361,Edge Sampling,1.70477,1.77373,1.63581
100,529,Edge Sampling,1.69552,1.7564,1.63465
5,49,RBF Sampling,2.5888,2.78512,2.39249
5,121,RBF Sampling,2.74792,2.88314,2.6127
5,169,RBF Sampling,2.73965,2.85663,2.62267
5,289,RBF Sampling,2.64507,2.76763,2.52251
5,361,RBF Sampling,2.70446,2.78405,2.62487
5,529,RBF Sampling,2.71,2.76648,2.65351
10,49,RBF Sampling,1.85441,2.03534,1.67348
10,121,RBF Sampling,1.96898,2.06315,1.87481
10,169,RBF Sampling,1.92408,2.04851,1.79965
10,289,RBF Sampling,1.99082,2.08067,1.90098
10,361,RBF Sampling,1.96852,2.04877,1.88827
10,529,RBF Sampling,2.01719,2.08518,1.94921
15,49,RBF Sampling,1.84949,2.02657,1.67241
15,121,RBF Sampling,1.82183,1.94463,1.69903
15,169,RBF Sampling,1.83586,1.96975,1.70197
15,289,RBF Sampling,1.82692,1.9104,1.74344
15,361,RBF Sampling,1.74641,1.83108,1.66175
15,529,RBF Sampling,1.78396,1.83587,1.73205
20,49,RBF Sampling,1.54888,1.71155,1.3862
20,121,RBF Sampling,1.64521,1.74227,1.54814
20,169,RBF Sampling,1.64716,1.7424,1.55192
20,289,RBF Sampling,1.65073,1.71613,1.58533
20,361,RBF Sampling,1.63888,1.70211,1.57566
20,529,RBF Sampling,1.70538,1.75165,1.65912
25,49,RBF Sampling,1.66306,1.87132,1.45479
25,121,RBF Sampling,1.64168,1.74398,1.53937
25,169,RBF Sampling,1.58855,1.70154,1.47556
25,289,RBF Sampling,1.69304,1.76372,1.62237
25,361,RBF Sampling,1.65865,1.71726,1.60004
25,529,RBF Sampling,1.59271,1.64039,1.54504
30,49,RBF Sampling,1.64459,1.7966,1.49258
30,121,RBF Sampling,1.6346,1.71842,1.55078
30,169,RBF Sampling,1.69792,1.79427,1.60157
30,289,RBF Sampling,1.59174,1.67169,1.51178
30,361,RBF Sampling,1.56865,1.63728,1.50001
30,529,RBF Sampling,1.61367,1.68003,1.54731
35,49,RBF Sampling,1.6765,1.87512,1.47787
35,121,RBF Sampling,1.62412,1.7312,1.51704
35,169,RBF Sampling,1.55625,1.6517,1.46079
35,289,RBF Sampling,1.60067,1.67771,1.52362
35,361,RBF Sampling,1.57054,1.6463,1.49478
35,529,RBF Sampling,1.54615,1.6044,1.48791
40,49,RBF Sampling,1.65763,1.79889,1.51637
40,121,RBF Sampling,1.59107,1.70969,1.47245
40,169,RBF Sampling,1.53892,1.62312,1.45472
40,289,RBF Sampling,1.53898,1.59704,1.48092
40,361,RBF Sampling,1.56774,1.63028,1.5052
40,529,RBF Sampling,1.54615,1.60923,1.48308
45,49,RBF Sampling,1.46734,1.66269,1.27198
45,121,RBF Sampling,1.46283,1.56343,1.36224
45,169,RBF Sampling,1.55689,1.66335,1.45042
45,289,RBF Sampling,1.50581,1.59331,1.41831
45,361,RBF Sampling,1.56078,1.61518,1.50639
45,529,RBF Sampling,1.5545,1.61137,1.49764
50,49,RBF Sampling,1.35395,1.57601,1.1319
50,121,RBF Sampling,1.59958,1.72366,1.47549
50,169,RBF Sampling,1.52692,1.62609,1.42776
50,289,RBF Sampling,1.56945,1.64574,1.49316
50,361,RBF Sampling,1.53813,1.60493,1.47134
50,529,RBF Sampling,1.5637,1.60818,1.51922
55,49,RBF Sampling,1.50405,1.68469,1.32342
55,121,RBF Sampling,1.50929,1.60686,1.41172
55,169,RBF Sampling,1.49035,1.59032,1.39038
55,289,RBF Sampling,1.54919,1.60315,1.49524
55,361,RBF Sampling,1.49041,1.54173,1.43908
55,529,RBF Sampling,1.49886,1.5571,1.44062
60,49,RBF Sampling,1.33118,1.49585,1.16652
60,121,RBF Sampling,1.43767,1.55144,1.3239
60,169,RBF Sampling,1.50444,1.5878,1.42107
60,289,RBF Sampling,1.51735,1.58113,1.45357
60,361,RBF Sampling,1.56198,1.6256,1.49836
60,529,RBF Sampling,1.55848,1.61557,1.5014
65,49,RBF Sampling,1.5389,1.74237,1.33544
65,121,RBF Sampling,1.55079,1.67217,1.42942
65,169,RBF Sampling,1.5522,1.64421,1.46019
65,289,RBF Sampling,1.54998,1.62583,1.47412
65,361,RBF Sampling,1.56528,1.63468,1.49588
65,529,RBF Sampling,1.51733,1.5675,1.46716
70,49,RBF Sampling,1.37314,1.53499,1.21128
70,121,RBF Sampling,1.58111,1.68702,1.4752
70,169,RBF Sampling,1.51614,1.616,1.41627
70,289,RBF Sampling,1.53776,1.59816,1.47736
70,361,RBF Sampling,1.52554,1.58712,1.46395
70,529,RBF Sampling,1.49035,1.5432,1.43751
75,49,RBF Sampling,1.53947,1.73116,1.34777
75,121,RBF Sampling,1.59618,1.69857,1.49379
75,169,RBF Sampling,1.54088,1.61929,1.46246
75,289,RBF Sampling,1.48734,1.54892,1.42575
75,361,RBF Sampling,1.5118,1.57838,1.44522
75,529,RBF Sampling,1.49792,1.56176,1.43408
80,49,RBF Sampling,1.49841,1.62502,1.3718
80,121,RBF Sampling,1.54046,1.66318,1.41774
80,169,RBF Sampling,1.53526,1.62282,1.44769
80,289,RBF Sampling,1.48133,1.54362,1.41904
80,361,RBF Sampling,1.45357,1.51837,1.38876
80,529,RBF Sampling,1.49727,1.55839,1.43615
85,49,RBF Sampling,1.48126,1.65437,1.30815
85,121,RBF Sampling,1.48754,1.58173,1.39335
85,169,RBF Sampling,1.49078,1.59056,1.39099
85,289,RBF Sampling,1.50236,1.58968,1.41504
85,361,RBF Sampling,1.59189,1.64969,1.53409
85,529,RBF Sampling,1.53209,1.58733,1.47685
90,49,RBF Sampling,1.51656,1.69897,1.33414
90,121,RBF Sampling,1.42717,1.53226,1.32207
90,169,RBF Sampling,1.478,1.56976,1.38624
90,289,RBF Sampling,1.53151,1.60625,1.45678
90,361,RBF Sampling,1.51587,1.57569,1.45606
90,529,RBF Sampling,1.48376,1.53239,1.43512
95,49,RBF Sampling,1.42628,1.63899,1.21357
95,121,RBF Sampling,1.52773,1.64106,1.41441
95,169,RBF Sampling,1.49847,1.59052,1.40642
95,289,RBF Sampling,1.51777,1.58192,1.45362
95,361,RBF Sampling,1.49841,1.56633,1.43048
95,529,RBF Sampling,1.48841,1.54132,1.4355
100,49,RBF Sampling,1.65261,1.8778,1.42741
100,121,RBF Sampling,1.46124,1.5744,1.34807
100,169,RBF Sampling,1.51903,1.61821,1.41984
100,289,RBF Sampling,1.50824,1.58415,1.43233
100,361,RBF Sampling,1.51054,1.57055,1.45053
100,529,RBF Sampling,1.50059,1.5543,1.44689
